Comment,Designator,Footprint,LCSC
500m,RSHUNT1,R_0805_2012Metric,C104584
SKRPABE010,"BOOT_SWITCH1,RESET_SWITCH1",SW_SKRPABE010,C115360
INA180A3,U4,SOT-23-5,C122882
SK-12D02-VG3,S1,SK12D02VG3,C136723
100k,"R15,R16",R_0805_2012Metric,C149504
D_Schottky,"D2,D4",D_SMA,C163541
TP4056,IC2,SOP127P600X175-9N,C16581
TYPE-C-31-M-12,J3,HRO_TYPE-C-31-M-12,C165948
10k,"R14,R17,R2,R9",R_0805_2012Metric,C17414
1k,"R11,R12,R13,R18,R22,R6,R7",R_0805_2012Metric,C17513
4k7,R4,R_0805_2012Metric,C17673
470R,"R19,R20,R21,R23,R3",R_0805_2012Metric,C17710
JST-XH-02-PIN-LONG-PAD,"X2,X4",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C20079
JST-PH,X1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,C2319
LED_Dual_KKA,D5,12-22SURSYGC_S530-A3_E2_TR8,C264367
5k1,"R5,R8",R_0805_2012Metric,C27834
USBLC6-2P6,U1,SOT-666,C2827693
1u,"C13,C14,C16,C8",C_0805_2012Metric,C28323
DMG2305,Q3,SOT23-WIDE,C2940629
ESP32-S3-MINI-1-N8,U3,XCVR_ESP32-S3-MINI-1-N8,C3013941
18k,R1,R_0805_2012Metric,C316791
GCNR6045-220MC,L1,GCNR6045-220MC,C439380
10u,"C1,C11,C12,C18,C19,C2,C20,C22,C3,C4,C5",C_0805_2012Metric,C440198
Conn_02x03_Odd_Even,J2,PinHeader_2x03_P2.54mm_Vertical,C492420
100n,"C10,C15,C17,C21,C6,C7,C9",C_0805_2012Metric,C49678
AP2112K-3.3,U2,SOT-23-5,C51118
RED_SIDE_LED,D3,A-SP170SR6C-A01-4C,C5160727
XL293,IC3,SO20,C556264
MT3608,U6,SOT-23-6,C84817
